Year	Sydney price Index	Annual % change	Total number of square meters	Age of house (years)	Market Price ($000)
2002–03	78.2	0	160.5	35	636.75
2003–04	87.5	11.9	248.9	45	651
2004–05	84.1	3.9	155.3	20	699
2005–06	81.6	3	240.4	32	768
2006–07	83.6	2.5	188.4	25	739
2007–08	89.1	6.6	155.8	14	779
2008–09	85.8	3.7	174.8	8	749
2009–10	97.8	14	310.5	10	780
2010–11	102.2	4.5	168.2	28	790
2011–12	100	2.2	247	30	834
2012–13	104.4	4.4	182	2	795
2013–14	120.4	15.3	214.3	6	839
2014–15	140	16.3	212.1	14	797
2015–16	153.575	12.4	248.5	9	845
2016–17	153.575	11.5	230	1	922.75
